# Real-flight known-PCD route. Faster open-area profile; gate remains conservative.
# x y z incoming_speed[m/s] yaw_guide[deg|nan] dwell[s]
# Each phase is one global MINCO-S4 trajectory; internal P/V/A/J are jointly solved.
 0.30  -0.30 1.00 0.60 nan 0.0
 0.75  -1.40 1.06 1.35 nan 0.0
 1.20  -2.70 1.07 1.75 nan 0.0
 1.68  -4.01 1.07 1.80 nan 0.0
 2.28  -5.24 1.10 1.80 nan 0.0
 2.60  -6.56 1.13 1.70 nan 0.0
 2.51  -7.47 1.15 1.30 nan 0.0
 1.77  -7.99 1.13 1.20 nan 0.0
 1.19  -8.70 1.14 1.20 nan 0.0
 0.67  -9.45 1.14 1.05 nan 0.0
 0.43  -9.84 1.15 0.75 nan 0.0
 1.02 -10.53 1.21 0.75 nan 0.0
 1.50 -11.00 1.20 0.60   0 2.0
 1.82 -11.33 1.25 0.60 nan 0.0
 2.36 -12.09 1.25 0.85 nan 0.0
 2.62 -12.47 1.25 0.70 nan 0.0
 3.32 -11.94 1.25 0.80 nan 0.0
 3.91 -11.23 1.25 0.85 nan 0.0
 4.30 -10.80 1.20 0.60 180 2.0
 5.13 -10.38 1.27 0.90 nan 0.0
 5.95  -9.96 1.29 1.65 nan 0.0
 6.75  -9.49 1.29 1.90 nan 0.0
 7.50  -8.98 1.27 1.95 nan 0.0
 8.23  -8.43 1.26 1.95 nan 0.0
 8.95  -7.86 1.25 1.95 nan 0.0
 9.69  -7.31 1.25 1.95 nan 0.0
10.48  -6.82 1.25 1.95 nan 0.0
11.55  -6.25 1.20 1.85 nan 0.0
12.05  -5.20 1.35 1.70 nan 0.0
12.45  -4.30 1.50 1.55  90 0.0
12.70  -3.50 1.50 1.05 nan 0.0
12.75  -3.20 1.50 0.65 nan 0.0
12.75  -2.88 1.46 0.48 nan 0.0
12.75  -2.72 1.05 0.42 nan 0.0
12.75  -2.60 0.55 0.36 nan 0.0
12.75  -2.25 0.50 0.45 nan 0.0
12.75  -1.70 0.50 0.82  90 0.0
13.00  -0.90 0.52 1.40 nan 0.0
13.50   0.00 0.55 0.65  90 0.2
